,precision,recall,f1-score,support
airplane,0.8604187437686939,0.863,0.8617074388417374,1000.0
automobile,0.9220272904483431,0.946,0.9338598223099703,1000.0
bird,0.8027571580063627,0.757,0.7792074112197632,1000.0
cat,0.6285942492012779,0.787,0.6989342806394316,1000.0
deer,0.8649237472766884,0.794,0.8279457768508863,1000.0
dog,0.8082340195016251,0.746,0.7758710348413936,1000.0
frog,0.8624641833810889,0.903,0.882266731802638,1000.0
horse,0.9104477611940298,0.854,0.8813209494324046,1000.0
ship,0.9103585657370518,0.914,0.9121756487025948,1000.0
truck,0.9344608879492601,0.884,0.9085303186022611,1000.0
accuracy,0.8448,0.8448,0.8448,0.8448
macro avg,0.8504686606464421,0.8448,0.8461819413243081,10000.0
weighted avg,0.8504686606464422,0.8448,0.846181941324308,10000.0
